"3957,N.A. N.A.,""Nothing but a glorifed school type plateform, which turn people into sex objectsand degenerates which only value superficial matters."",1,0,26-01-2022 01:19,Tinder";;
3958,Blessing Horsfall,Nice 🙂🙂🙂,5,0,26-01-2022 01:14,Tinder;;
3959,Joni Kraja,Ok,5,0,26-01-2022 01:14,Tinder;;
3960,oscar motors,Good,5,0,26-01-2022 01:12,Tinder;;
3961,Michael Shook,Fun meet new people don't be scared to message first or you'll never know,5,0,26-01-2022 01:10,Tinder;;
3962,Brian Eisner,I just found the love of my life I will never use an applicant :) it doesn't get better than that,5,0,26-01-2022 00:58,Tinder;;
"3963,John Derry,""Haven't been able to upload photos at all, reinstalling, clearing and readding permissions and logging in and out have not rectified the situation! Steer clear of this garbage fire"",1,3,26-01-2022 00:57,Tinder";;
3964,harsh gorasia,Worst experience,1,0,26-01-2022 00:49,Tinder;;
"3965,David Peterson,""Banned for making a sugar daddy joke and below it clarifying I wasn't a sugar daddy. """"Looking for a Sugar Daddy? Cause I'll take you the the candy shop."""" You do realize that is a type of candy... No appeal process or warning. But hey you were fine taking my money and doling out hundreds of bot matches. 🖕 you Tinder."",1,0,26-01-2022 00:43,Tinder";;
3966,Rocky THAKUR,Very bad experience,1,0,26-01-2022 00:43,Tinder;;
3967,Zaka Dx,Jhakaas but girls are not so open to express their necessity,5,0,26-01-2022 00:34,Tinder;;
3968,Masha Kapur,Can't add Spotify to profile on Android,1,0,26-01-2022 00:06,Tinder;;
"3969,Steven Mazzettia,""What an absolute joke... You have to pay $25 a month to see who likes you and also to be able to send messages. You get just a couple super likes and then have to pay more for more, once you use the super likes, you lose the ability to see who likes you even though you pay $25 a month for gold membership. This app is so pathetic and does nothing about the thousands of fake accounts."",2,2,26-01-2022 00:03,Tinder";;
3970,Onur Yuksel,Does the like count include liking spam profiles?😅,1,0,26-01-2022 00:03,Tinder;;
3971,Princess India,Very bad application .....,1,0,25-01-2022 23:55,Tinder;;
3972,Peace Michael,I was banned for no reason...after month it started working in it on🙄,2,1,25-01-2022 23:40,Tinder;;
3973,Nyamosor Myagmarjav,I was able to find some interesting people and had chance to talk to them too,5,0,25-01-2022 23:38,Tinder;;
"3974,Keo Yeo,""Got banned out of nowhere without violating any rules, and I now have no way to recover the account or even to make a new one. A bit harsh seeing as my account was within the user agreements terms and conditions"",1,1,25-01-2022 23:33,Tinder";;
3975,Spencer Wayman,Any app that bans without the ability to contest or without explanation deserves 1 star. Simple as that.,1,1,25-01-2022 23:29,Tinder;;
3976,Techno Rk GAMEX,I lose my best friend bcoz i this app. She started dating a guy and started ignoring me. It really hurts. I hate you tinder😢,1,0,25-01-2022 23:26,Tinder;;
3977,Prince Kanungo,Waste money koi match nhi,1,0,25-01-2022 23:25,Tinder;;
3978,TTVelectriczz zzz,I wish it wasn't so $$$ locked like everything u need to pay for plus everyone thinks seeing a 7'0 tall white guy is a troll account 🤣,3,0,25-01-2022 23:22,Tinder;;
3979,ashwin M,App is great but people are not.. take care guys.,4,0,25-01-2022 23:18,Tinder;;
"3980,Justin Zazzetti,""Don't expect to get many matches with out paying something. Had more fun on the old Tinder, Platinum is a joke, read recipts are a joke. Whole thing is big marketing scam, not to mechin the amount of spam accounts. Who wants to pay any kinda money a month when Tinder controls the matches. Big joke. (Update) I have removed this busted app. Haven't seen a match in almost 2 weeks. I've spent over 60 bucks. Tinder is a worse scammer than the people in the app. THIS IS ALL WITH PLATNUIM. REFUND!?!?!"",1,4,25-01-2022 23:04,Tinder";;
3981,Virat Tripathi,waste,1,0,25-01-2022 23:04,Tinder;;
3982,Emem Ekpo,I love this app... But I was retrieved and I dnt understand why I cnt login anymore and it's frustrating,5,0,25-01-2022 23:03,Tinder;;
3983,Illia Tulupov,human emotions monetized to the extreme,1,0,25-01-2022 23:02,Tinder;;
"3984,YungBoiNeverBaldAgain,""the online world is lonely, leave it & embrace reality for its totality."",1,0,25-01-2022 22:52,Tinder";;
"3985,Matt Sullivan,""Soooo many fake profiles. Tinder really needs to figure out a way to stop people from promoting their Instagram, Snapchat, Tiktok and Onlyfans accounts on this app."",1,8,25-01-2022 22:38,Tinder";;
"3986,Jqrn,""Set to only see people up to 80kms away, shows me almost nothing but people 100km+. Great design."",1,2,25-01-2022 22:28,Tinder";;
3987,Rahul Mandwani,Some of your features are not working just like hot talks.... I buy platinum subscription but it's not worthy,1,0,25-01-2022 22:22,Tinder;;
3988,Lucas Henry,Age restriction poopy smelly bad app,1,0,25-01-2022 22:19,Tinder;;
3989,sam jepara,Does not work properly,1,0,25-01-2022 22:15,Tinder;;
"3990,Dario Meneses,""Not open, I can't authenticate"",1,0,25-01-2022 22:06,Tinder";;
3991,Upendar Yadav,This app always need money for everything. To view who liked me I need to but gold subscription for unlimited likes I need to buy another subscription and buying all these subscription what u get is fake profile,1,0,25-01-2022 22:04,Tinder;;
3992,Delesh Avalani,When I add a super little will be asked to send a message when i do it just hangs. Just ignore this and goo to bumble. You are anyway just going to meet migrant workers or scammers here. Few genuine people,1,0,25-01-2022 21:52,Tinder;;
"3993,Tanmay Mondal,""Each and every thing is costly ,worst app"",1,0,25-01-2022 21:51,Tinder";;
"3994,sfiso alphas,""No complaints. I wish you could break down the subscription to weekly, monthly and yearly... Instead of deducting the entire subscription fee at once.."",5,0,25-01-2022 21:50,Tinder";;
3995,nekesa carolyne,It's nice,5,0,25-01-2022 21:32,Tinder;;
"3996,Amandeep Uppal,""It is good,ur prgrammers try to make a pretty good match depending on profile nd bio."",5,0,25-01-2022 21:19,Tinder";;
3997,Hari White,Very good,5,0,25-01-2022 21:16,Tinder;;
"3998,Hachi Kano,""I verified my ID twice, got the blue check mark, and got banned with no explanation. They don't offer appeals so I don't even know why."",1,1,25-01-2022 21:02,Tinder";;
3999,Jeremiaah R,Had to delete because the app kept on showing me profiles too young or old for me and profiles that were too far away from me.,1,1,25-01-2022 20:51,Tinder;;
4000,samofthesun,Surprisingly not bad. Yes there's a huge amount of timewasters on here who are basically collecting matches with no intention of meeting but it doesn't take long to figure out the types worth investing time in or not. Kinda get out what you put in to it. I'm certainly not disappointed,4,6,25-01-2022 20:35,Tinder;;
4001,Abhishek singh,Subscription problem 😔,1,0,25-01-2022 20:29,Tinder;;
4002,Paul Long,Nice...but stupidly expensive..should be free...,4,0,25-01-2022 20:28,Tinder;;
4003,Cathy-leigh de Vries,Everything was working great till I updated. Now I randomly get kicked out when I try to upload a video. Why is this happening?,3,6,25-01-2022 20:21,Tinder;;
4004,Tania Palit,Banned my account without any reason,1,1,25-01-2022 20:15,Tinder;;
4005,Rachel Amarachi Uzor,Amazing app,5,0,25-01-2022 20:13,Tinder;;
4006,Monica Gaitan,I got banned for no reason,1,1,25-01-2022 20:07,Tinder;;
"4007,Jeremy Hayden,""Tried making an account, but it won't let me get past the add pictures part. I tried adding 6 profile pics but it keeps saying it failed and won't let me get passed it. So I guess that means the app doesn't work anymore!"",1,8,25-01-2022 19:50,Tinder";;
"4008,Jayesh Kukreti,""Garbage, money sucking app with worst customer service experience ever"",1,0,25-01-2022 19:39,Tinder";;
"4009,Luis Gonzalez,""A feature rich app, but lots of inactive profiles."",4,0,25-01-2022 19:27,Tinder";;
4010,Reymark Bangcure,Wasting time,1,0,25-01-2022 19:25,Tinder;;
4011,Edison Mandija,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,0,25-01-2022 19:22,Tinder;;
4012,Asparrow abubakar 99,Nice app,5,0,25-01-2022 19:18,Tinder;;
4013,Orange Possum,Rigged.,1,0,25-01-2022 19:16,Tinder;;
4014,shake and bake,It's just a total waste of time and useless,2,0,25-01-2022 19:14,Tinder;;
4015,Dudu Bubu,Worst app. It bans you even without a reason. Very bad app,1,1,25-01-2022 19:12,Tinder;;
4016,gean mundea,It's ok but the are alot of fake people,5,0,25-01-2022 19:11,Tinder;;
4017,God Is The Greatest,Good,5,0,25-01-2022 19:07,Tinder;;
4018,SHEHARYAR JAVED,Nice app,5,0,25-01-2022 18:59,Tinder;;
4019,Smashedtulip099,The Spotify plays list selection needs to be fixed. It's been messed up since last year.,2,1,25-01-2022 18:53,Tinder;;
4020,Lindani Mpofu,Why does one have to upgrade to gold to see who likes them,2,0,25-01-2022 18:48,Tinder;;
"4021,Muscus Domesticus,""Banned from use for no reason? Never downloaded app before, go to use it, and it says banned... Wooowwe"",1,1,25-01-2022 18:38,Tinder";;
4022,Adam Robinson,If I put that I only want women to be seen to me then I should only see women. The trans and gay men are extremely rampant on here to the point that it makes you not want to get on here. I just reported a down low gay dude and he showed up again...TWICE. If I report someone I should never see them again but yall show them even more. There's got to be better apps than this,1,0,25-01-2022 18:38,Tinder;;
"4023,Matt Macdonald,""Tinder has really got down hill, do better guys, this app really sucks at the moment"",1,0,25-01-2022 18:25,Tinder";;
4024,The Unknown,Works well enough,5,0,25-01-2022 18:15,Tinder;;
4025,Marlin Rush,This app doesnt work at all i cant even upload more than one pic even when it says upload at least two to begin. I keep seeing the same people when i reinstall this all is just fake in my opinion,1,4,25-01-2022 18:10,Tinder;;
4026,Rishabh Vyas,Waste,1,0,25-01-2022 18:05,Tinder;;
4027,TERABYT U,Thanks to tinder i found my soul mate🥰🙂,5,1,25-01-2022 17:53,Tinder;;
"4028,VISHNU K VIJAYAN,""It's a great app to leave the users doubt themselves whether they are ever good enough while looting our wallet by promising us with fake profiles that disappear as soon as you pay to match. You had your run, tinder. It's time to rest in peace."",1,134,25-01-2022 17:48,Tinder";;
4029,Imre Marian,Super overpriced and everything to make you pay - extremely little benefits if you don't,1,0,25-01-2022 17:23,Tinder;;
4030,Forth Game,Been in this app for 5 years found absolutely no match it's pretty much a scam did not even bother wasting your money on it Dating apps these days are broken,1,0,25-01-2022 17:21,Tinder;;
4031,Vante,Just another site thots post their onlyfans and get mad when you don't want to trick on them for just being cute lol better off trying to Meet women at bars/clubs don't buy a membership either I don't really believe it helps you still get more bots hitting your up than actual women,1,0,25-01-2022 17:09,Tinder;;
4032,Béla Szegedi,Others had already said everything. Read the reviews.,1,0,25-01-2022 17:00,Tinder;;
4033,Ogbonna Anita,Got banned for nothing. Not fair at all,1,1,25-01-2022 16:55,Tinder;;
4034,Aliro Alamin,The best online dating app ever,5,0,25-01-2022 16:34,Tinder;;
"4035,Chicken Wings15,""Too pricey, just date in person y'all."",1,0,25-01-2022 16:21,Tinder";;
4036,Natale Young,I'd give it 1☆ if that was a thing $208 just to sign up is too much up,1,33,25-01-2022 16:09,Tinder;;
"4037,chinelo julia,""I have using tinder for over a year now and just yesterday I tried to log but it was saying that my account has being banned,,, so how do I retrieve my account back ?? I do not even know my offense"",2,1,25-01-2022 15:59,Tinder";;
4038,Dirk Gybels,Unbelievable,5,0,25-01-2022 15:58,Tinder;;
4039,Shanice M,I got banned and idk why I barley on here,1,1,25-01-2022 15:52,Tinder;;
4040,baivabi priyadarshini,This app is showing problem. I'm not able to open my account.,2,0,25-01-2022 15:50,Tinder;;
4041,Troy Drakes,Nice Experience,5,0,25-01-2022 15:38,Tinder;;
4042,Archit Khare,Charge money and doing nothing. THEY JUST TALE MONEY AND MONEY,1,0,25-01-2022 15:36,Tinder;;
4043,Jackson Fox,Lowering my rating because after a couple months I still can't deselect any of my most listened to spotify artists. Its annoying,2,0,25-01-2022 15:26,Tinder;;
4044,Abhay A,Useless app,1,0,25-01-2022 14:56,Tinder;;
4045,Xapon Lal,Superb,5,0,25-01-2022 14:46,Tinder;;
"4046,Ivan Ivanov,""In new version (after update) is no longer available to see profile information. If this is a bug, is good to fix it in next update."",3,2,25-01-2022 14:42,Tinder";;
4047,Igocho Godwin,This app is awesome but the idea is defeated because of its misuse by the users...They are not truthful and the Ladies here have ambushed men just to drag them into what's not real. There are still real people in this Earth but people don't believe this Truth anymore as everyone is NOW GAMED! Ooops!,4,0,25-01-2022 14:40,Tinder;;
"4048,Imane Daouf,""I have been banned and i'm pretty sure i did nothing wrong since i just made my account yesterday and i went over the guidelines and terms of use very carefully and i woke up this morning to my account being banned with no justification. I understand that you need to keep tinder clean and to be ware of any spam or bad accounts but i really would appreciate it if i got a justification of why my account was banned in the first place other than """"your account was banned"""""",1,1,25-01-2022 14:37,Tinder";;
"4049,Tshepiso Khasuli,""My experience with the app is horrible, I got banned for no reason after using the app for a few hours. I really don't recommend it."",1,1,25-01-2022 14:23,Tinder";;
4050,Lefty Moun,It's much better!,4,0,25-01-2022 14:09,Tinder;;
4051,- 47Ambidextriouz,Mediocre,4,0,25-01-2022 14:01,Tinder;;
4052,ahad badhon,Good App,4,0,25-01-2022 13:49,Tinder;;
"4053,Dylan Rolls,""The reviews speak for themselves, too many bots, scammers and hookers lol"",1,0,25-01-2022 13:49,Tinder";;
4054,Gulam Abbas,Excellent experience with tinder,5,0,25-01-2022 13:32,Tinder;;
4055,Javon Scott,Its good but i have to pay for everything ...,1,0,25-01-2022 13:10,Tinder;;
"4056,chris romero,""This app has gotten worse and greedy, $7 for 5 super likes now its $10 for 3!? And $39 for 15 ,before it was $25 for 20!"",1,0,25-01-2022 12:37,Tinder";;
4057,RAHUL KARMAKAR,Nihaiti Ghatiya app.,1,0,25-01-2022 12:29,Tinder;;
4058,YOUTUBE VIEWS,still gettin the job done!!!,5,1,25-01-2022 12:22,Tinder;;
4059,kayiwa apollo,It annoys when it doesn't allow to text someone u have liked be4 matching,4,0,25-01-2022 12:13,Tinder;;
4060,Daniswara A. Majid,Bagus kok app nya. Cuman banyak fitur premium yg terlock membership. Andaikan bisa one time buy untuk selamanya.,5,0,25-01-2022 12:12,Tinder;;
4061,MUHAMMAD ZUBAIRU ELYAKUB,Developer I can't login my account again.. All I recieve is error. It seems like you guys don't want more Dollar coming into your account. People are coming to Tinder like always but all we get is disappointment.,1,0,25-01-2022 12:11,Tinder;;
"4062,Jody yu,""Spotify top artist always comes out weird, and can't even change it."",2,0,25-01-2022 11:56,Tinder";;
"4063,Paula Mueller,""I was blocked from this app, some guy said I was rude because I would not show nude pictures to him.. thats fair to me!! Im 57 years old..I only want to have fun!! First off im a nice person!!"",1,0,25-01-2022 11:53,Tinder";;
4064,Kiro R Beattie,Annoying when you're constantly matching with people who are thousands of kilometres away and you always have your distance set to find local people,4,0,25-01-2022 11:50,Tinder;;
4065,Alyson Masarovich,I swiped left on someome i really meant to swipe right on is there ANY way to find them again?????,3,0,25-01-2022 11:22,Tinder;;
4066,Musarrat Tabassum,Thankstinderloveyouuuu,5,0,25-01-2022 11:16,Tinder;;
4067,Ganesh Gaming 15,Out side age 17+ he to be nhi,1,0,25-01-2022 11:10,Tinder;;
4068,Antonio Souffront p,✓me gusta,5,0,25-01-2022 11:08,Tinder;;
"4069,CVB ADV,""This app is created to destroy you from the outside in, it's so addictive you won't stop. Even if you're aware. Use with caution."",5,1,25-01-2022 11:05,Tinder";;
4070,Mike Charlton,Not easy to massage people if you are not looking to pay for it.,3,0,25-01-2022 10:53,Tinder;;
4071,Ganesh Uche,Worst experience.,1,0,25-01-2022 09:53,Tinder;;
"4072,Aaron Batchelder,""Trash. You devs know why, I don't need to explain. The app used to be worth a shot but now it's all about a profit. *Uninstall*"",1,0,25-01-2022 09:50,Tinder";;
4073,Katie Matson,They will let anyone ban you for zero reason. It's not worth it if you have a personality to get this app.,1,0,25-01-2022 09:42,Tinder;;
4074,Christopher Auld,Will not upload photos from phone.,1,0,25-01-2022 09:33,Tinder;;
4075,Nathan Matson,How do I delete tinder gold?!?!,3,0,25-01-2022 09:30,Tinder;;
4076,Cornelius Geno,Maju terus Hipajak,5,0,25-01-2022 09:22,Tinder;;
"4077,Marshal,""You ever download an app and say """"Wow everyone is so beautiful... Wait I walk around this town and have never seen anyone that attractive 😑""""? that's what tinder is, I'm convinced they're all fake profiles, flooding your own app with people you can't match with doesn't make it a fun place to be, I would rather see average people that are real than """"10's and 9's"""" that are not."",1,0,25-01-2022 09:10,Tinder";;
4078,Dane Jabour,So far so good really. Sweet logo.,5,0,25-01-2022 08:53,Tinder;;
4079,Allistair Doeppe,Noone ever says anything to you when you match,1,0,25-01-2022 08:47,Tinder;;
4080,watersport86,This app raises my blood pressure,1,0,25-01-2022 08:46,Tinder;;
"4081,We Telecast,""Instagram details should not be allowed from this app, this app has been Misused nowadays because 95% females promote their insta on this app for digging followers on insta spoiling the spirit of this app."",1,0,25-01-2022 08:32,Tinder";;
"4082,Imam Hasan Sazid,""So far, Good."",5,0,25-01-2022 07:43,Tinder";;
4083,Swaggi Waggi,Needs to work on crating to the lqbq+ community more. So I can see the right people I want to interact with and vice versa.,1,0,25-01-2022 07:20,Tinder;;
"4084,Tony Mattel,""Allow users to know when matches are online and their last seen, that'll really keep lots of users active on the app cuz when I don't know which one of my matches is online, I just get tired and close the app 😔 💔 Please do something on that, it's best for business for both the company and it's users"",5,0,25-01-2022 06:54,Tinder";;
4085,triprodi megah,Trash!!!!,1,0,25-01-2022 06:53,Tinder;;
4086,Chance Winnett,Amazing app,5,0,25-01-2022 06:45,Tinder;;
"4087,Masked Modder,""If you're into women in ATL, don't waste your time on this app (they don't even acknowledge your swipes or messages), and if you're into guys, here's what you can expect - dudes will drop Super Likes on you all year, as soon as you start messaging a few, they ALWAYS GO GHOST. They're only interested the day they see you. People have too many other people they're screwing or have interest in. Don't waste your time on Tinder."",2,0,25-01-2022 06:20,Tinder";;
"4088,Hayden Fogel,""DO NOT give this disgusting company your money. Tinder is surely one of the most toxic social media platforms, and must be doing great mental harm to it's millions of users. Every detail of this app has blatantly been designed to coerce the user into spending money. Making your service borderline unusable is truly a sad and despicable business model. Especially during a pandemic when we are all forced to be so reliant on apps like this to meet people. The creators should be ashamed of themselves"",1,0,25-01-2022 06:12,Tinder";;
4089,shane scherer,Fantastic,5,0,25-01-2022 06:08,Tinder;;
"4090,Happiness Victor,""Useless dating site,I installed and after an hour my account was banned for what I do not know"",1,1,25-01-2022 06:05,Tinder";;
"4091,Paola Montes,""My account has been banned without any reason, I even asked to the tinder mail, they just say same from machine, not giving a reason to know what I was doing wrong for them, I know is not the first time this is happening to the users. That's too bad."",1,1,25-01-2022 05:55,Tinder";;
"4092,Konstantinos Sarlis,""This app used go be good enough, but lately has turned into a malfunctioning p2w cesspit. No need to write much, the rest of the reviewers have covered me. It's like the devs are trying to kill it or something..."",1,5,25-01-2022 05:45,Tinder";;
4093,Mohamed Gamal,Nice application,5,0,25-01-2022 05:30,Tinder;;
4094,Grant Taylor the prophecy,Trying to make money from other people's desire for love and loneliness then letting bots and scams run rampant this app shouldn't be downloaded by anyone,1,0,25-01-2022 05:28,Tinder;;
4095,Black On red,It so bad if a cud give u a 0 a will but that it's not possible so i give u a one,1,0,25-01-2022 05:27,Tinder;;
4096,killer bunny,They will TAKE YOUR MONEY AND DELETE YOUR ACCOUNT. This app is a massive scam I have made 2 payment of of over 130 pounds and the delete my account but keeping my money. Stay away from this app.,1,0,25-01-2022 05:10,Tinder;;
"4097,Okerewa Joy,""Really don't know what is happening. Trying to register, but After putting my number and clicking continue it takes me back to register with number"",1,0,25-01-2022 05:08,Tinder";;
"4098,Avi Smith,""It never shows me people who fit my preferences or are looking for the same thing I am, and there are no standards for what people put on their profiles. I'm tired of swiping through men, straight couples, and drug addicts trying to find somebody who has a bio, real pictures, and a modicum of sanity. You have to pay to do pretty much anything. There isn't even anything resembling real customer support available. This is the single worst app I have ever used."",1,4,25-01-2022 05:08,Tinder";;
4099,തക്കുടു വാവ,Amazing app,5,0,25-01-2022 05:00,Tinder;;
4100,Reade Simonds,Horrible,1,0,25-01-2022 04:33,Tinder;;
4101,Aleks Spasov,Used to be able to get matches,3,0,25-01-2022 04:20,Tinder;;
"4102,Devon Schultz,""Unusable. Within the last 30 days I went from regularly matching with people to not even being able to see other people globally with max age range. Uninstalled and reinstalled and same results. Either something happened to my account or some recent changes have seriously hurt this platform. Check the reviews coming in, the app is broken."",1,0,25-01-2022 04:16,Tinder";;
4103,Leezy Jay,Nice app,5,0,25-01-2022 03:43,Tinder;;
"4104,Bryce Falloway,""Never get matches, and the few I do get are either bots or stop messaging after saying hello. There's no point with this app anymore."",1,0,25-01-2022 03:31,Tinder";;
4105,Amari Doherme,Good apps,5,0,25-01-2022 03:23,Tinder;;
4106,Nikhil Nikhil,Waist,1,0,25-01-2022 03:09,Tinder;;
4107,Jeremy Adams,Never had a problem,5,0,25-01-2022 03:05,Tinder;;
4108,Craxk,Im 18 and im 2004 and it kept saying ..under ******king age wth,1,0,25-01-2022 02:59,Tinder;;
"4109,Slum Bruzzler,""I've been banned from the app, despite never using it before. Great design."",1,1,25-01-2022 02:54,Tinder";;
"4110,Caleb Bohanon,""The app works flawlessly. Like any good little consumer, I am upset by the price tags attached to the features. However my struggle is not with the interface, but with lack of response. Never felt quite as lonely as when I get 5 matches out of a thousand yesses, and they all left me on read or unmatch 🤣 I am not a popular mind."",4,0,25-01-2022 02:51,Tinder";;
4111,Michael Jordan,Awful customer service. Woeful community guidelines enforcement.,1,0,25-01-2022 02:49,Tinder;;
4112,Alberto Brower,Worst app,1,0,25-01-2022 02:12,Tinder;;
4113,Shlomo mosse Gador,Hitler was r.,1,0,25-01-2022 02:04,Tinder;;
"4114,Brody VT,""This app used to be great a few years ago, now it's just pointless. The subscriptions and boosts are sold as if they help you get more matches, at one time, they did do that, but now it gets you absolutely nothing, requested a refund and left the app entirely, I'm done with this, I will no longer be using this app."",1,0,25-01-2022 01:44,Tinder";;
4115,ramesh tiwary,Vv good,5,0,25-01-2022 01:37,Tinder;;
4116,Andile Bhengu,It a perfect app . The problem I need to put some money in oder to see people that liked me 😏,2,0,25-01-2022 01:10,Tinder;;
4117,Shadman Raiyan,I love you tinder.,5,0,25-01-2022 00:51,Tinder;;
4118,Rico Villanueva,Wonders are limited choose wisely.,5,0,25-01-2022 00:44,Tinder;;
4119,Dmari Williams,Got banned for no reason,1,1,25-01-2022 00:42,Tinder;;
4120,Honest Abe,Spam for dayz. Dating apps ran by CIA and deepstate illuminati for surrrrre,1,0,25-01-2022 00:33,Tinder;;
4121,robert rohm,They hide matches until you pay.,1,0,25-01-2022 00:22,Tinder;;
4122,Anil Khadka,Doesnt gate any match for months its seems like ita all fake,1,0,25-01-2022 00:15,Tinder;;
4123,Ahachhanul Hoque,Not good,1,0,25-01-2022 00:12,Tinder;;
4124,Jesús Ramos,I believe adding the option to send voice messages would benefit the chatting experience.,3,1,24-01-2022 23:59,Tinder;;
4125,V. Xanko,It needs to do more with the accuracyofthelocation. It will get better with time. We wanna know our better or worse halves.,5,0,24-01-2022 23:39,Tinder;;
4126,Cynthia Coville,Amazing,5,0,24-01-2022 23:38,Tinder;;
4127,ASHISH KUMAR,Unable to login even,1,0,24-01-2022 23:34,Tinder;;
4128,saurabh mittal,I purchase 1 month subscription but am not receive singal msg from anyone This all fake,1,0,24-01-2022 23:32,Tinder;;
4129,Deborah Ala,Wonderful,5,0,24-01-2022 23:30,Tinder;;
"4130,Derrick Weddle,""This is awful. Tinder used to be decent, but now there are some many bugs that if you swipe for more than 30 seconds, it crashes. Besides that, messages and matches disappear and reappear all the time... I've tested it on multiple phones, and they're all having the same problems. PLEASE GET THIS SORTED, TINDER."",2,1,24-01-2022 23:28,Tinder";;
"4131,Kathleen Ansieta,""I am banned for no reason? Awful!!! Don not download. I just crated an account, I logged in for the fist time... And now I'm banned?"",1,1,24-01-2022 23:22,Tinder";;
4132,david roth,This app sucks. Horrible and they are quick to ban you permanently with no reason.,1,1,24-01-2022 23:09,Tinder;;
"4133,White Woman,""Удаляла тиндер, теперь не могу снова сделать акк. Требует номер телефона. При вводе номера телефона подставляет цифру 8 и её нельзя удалить, зайти вообще невозможно."",1,0,24-01-2022 23:03,Tinder";;
4134,Dharmapriya Bandara,Amazin very good app woow it's so nice I find my best ever,5,0,24-01-2022 22:44,Tinder;;
4135,AMAN SHARMA,Bekar faltu apps hai jo kii bekar hai bahut sasura kissi kaam ka nahi hai,1,0,24-01-2022 22:42,Tinder;;
4136,Akash Srivastava,well i am ugly,1,0,24-01-2022 22:40,Tinder;;
4137,Dr Amanda Mbanga,Awesome and fun.,5,0,24-01-2022 22:40,Tinder;;
4138,Reitumetse Tau,Very good,5,0,24-01-2022 22:34,Tinder;;
4139,A V,Oh boy another paid subscription! 30 bucks a month for very basic features but lock them behind the paywall. Even the lower tier ones are still a rip off. I really hate this app but other people use it so I don't really have a choice. All these apps do the samething of asking for a lot of money for things they know they can't promise.,1,527,24-01-2022 22:28,Tinder;;
4140,Parveen Singh Rajput,Nice app,5,0,24-01-2022 22:09,Tinder;;
4141,Connor B,I can no longer access any of my boosts place fix.,1,0,24-01-2022 22:05,Tinder;;
"4142,Dale Yakin,""convenient and good service. A bit expensive relative to other options. Too many repeated profiles, especially if you've already indicated that you like one. Now too much text covering pictures."",3,93,24-01-2022 22:01,Tinder";;
4143,anilkumar mishra,Very nice app,5,0,24-01-2022 21:49,Tinder;;
4144,Dinesh Pawar,When i meet tinder friend in real life then only i give 5 star rating,4,0,24-01-2022 21:31,Tinder;;
4145,Money Bhatti,Worst app. Its not opening,1,0,24-01-2022 21:29,Tinder;;
"4146,Kayla Santos Sabino,""I created an account months ago, then decided the app wasn't working for me so I deleted my account. I found out months later that I was continuously being charged for a subscription when I never signed up for one, and it won't let me cancel it because I dont have an account linked to the card or need a code they would have sent by email for my account, but once again I dont have an account."",1,0,24-01-2022 21:17,Tinder";;
"4147,J C,""Takes the piss now, pay to see who liked you back. Scamming wankers have ruined what thus whole app was for !! Waste of time now from what it started out as"",1,0,24-01-2022 21:02,Tinder";;
4148,Cameron Dodd,Horrible.,1,0,24-01-2022 20:54,Tinder;;
4149,RK music production roopesh,No good this app tont west your time,1,0,24-01-2022 20:52,Tinder;;
4150,Andre Gous,Full of fake profiles and scammers.,1,0,24-01-2022 20:44,Tinder;;
4151,luke S,They totally destroyed this app. You have to pay to do literally ANYTHING now,1,0,24-01-2022 20:40,Tinder;;
4152,Biarki Viorandr,Only gives the person you like a certain amount of time to connect. Tried the free version. Found you can only swipe so many times and gives you a bunch of the same garbage picks you don't like repeatedly. Atleast pof and fb dating have a brain.,1,0,24-01-2022 20:31,Tinder;;
"4153,hesam nabavi,""Scam ,they send you fake message and like to buy their subscription, and link fake instagram from fake ids to collect your pictures from there. 99% of profile scam"",1,0,24-01-2022 20:21,Tinder";;
4154,Myles Liddell,Can't delete my account to reset it and keep seeing the same girls in my area. Fix your app,1,0,24-01-2022 20:19,Tinder;;
4155,Taral Gupta,Nice,5,0,24-01-2022 20:19,Tinder;;
4156,Mehdi,Horribly money hungry. Literally makes you pay to see if your message has been read. Please don't waste your time or money on this trash,1,0,24-01-2022 20:06,Tinder;;
4157,Amir Namin,Fun,5,0,24-01-2022 20:04,Tinder;;
4158,dfdad dfdadgfdgfdgfdgfd,The most dystopian money grubbing dating app with no women who arent crazy,1,0,24-01-2022 19:51,Tinder;;
4159,Mr. DiNESH BBA,Totally wasting my time 🤫,1,0,24-01-2022 19:48,Tinder;;
"4160,Rob,""Easy to use, lots of people to choose from, and bug free. I really like the way they designed the app."",5,2,24-01-2022 19:48,Tinder";;
"4161,Lynnor C.,""They banned my accoutn without telling me why, considering that I'm just using this useless app for 2 days. NEVER AGAIN that I'll use this trash."",1,1,24-01-2022 19:47,Tinder";;
4162,Justin Erickson,1 star for any app that use auto renew on subscriptions,1,2,24-01-2022 19:41,Tinder;;
4163,Ankush Sheoran,Nice app,5,0,24-01-2022 19:37,Tinder;;
"4164,Cory Griffith,""When i look at any of my suggestions, they are from anywhere in the country and by my maximum distance. Sorry but someone in Atlanta is definitely over 35 miles from small town Virginia."",1,0,24-01-2022 19:35,Tinder";;
4165,garvit arora,Worst app never found anyone plus that dumb super like is paid so go to hell for that no chat option as well,1,0,24-01-2022 19:29,Tinder;;
